kategori,metin,soru
kurulus,"TRT (Türkiye Radyo Televizyon Kurumu), 1964 yılında kurulan ve anayasa güvencesinde kamu hizmeti yayıncılığı yapan bir devlet kurumudur.",TRT ne zaman kuruldu?
yonetim,"TRT’nin başında Genel Müdür Mehmet Zahid Sobacı bulunmaktadır (2025 itibarıyla). Kurumsal yapı olarak, yayın daire başkanlıkları, uluslararası temsilcilikler ve dijital medya koordinasyon birimleriyle yönetilir.",TRT genel müdürü kimdir?
misyon,"TRT’nin misyonu; toplumun kültürel, sanatsal ve eğitsel gelişimini destekleyen, güvenilir ve tarafsız yayınlar yapmaktır.",TRT'nin misyonu nedir?
vizyon,"TRT, dijital dönüşümle birlikte yerli ve milli içerik üretimini artırmayı, küresel erişimini genişletmeyi ve teknolojiyi yayıncılıkla bütünleştirmeyi vizyon edinmiştir.",TRT'nin vizyonu nedir?
uluslararasi_yayincilik,"TRT; TRT World (İngilizce), TRT Arabi (Arapça) ve TRT Avaz (Türkî diller) gibi kanallarla dünya genelinde yayın yapmaktadır. Ayrıca Avrupa, Orta Doğu, Orta Asya ve Afrika’da temsilcilikleri bulunmaktadır.",TRT yurt dışına yayın yapıyor mu?
yayin_dilleri,"TRT, Türkçenin yanı sıra İngilizce, Arapça, Kürtçe, Fransızca, Almanca, Boşnakça gibi birçok dilde yayın yapar. Hedef kitlesi hem Türkiye içi hem de uluslararası izleyici topluluğudur.",TRT hangi dillerde yayın yapar?
trt1,"TRT’nin ilk ve ana televizyon kanalıdır. Aile dostu dizi, film ve yarışma programları yayınlar. Örnek içerikler: Teşkilat (Aksiyon/Dizi), Kalk Gidelim (Komedi)",TRT 1 ne yayınlar?
trt2,"Kültür, sanat ve entelektüel içeriklere yer verir. Festival filmleri, klasik müzik konserleri yayınlanır. Örnek içerikler: Dünyanın Sanatı (Belgesel), Yeryüzleri (Edebiyat)",TRT 2 ne yayınlar?
trt_belgesel,"Doğa, keşif, insan hikâyeleri, macera temalı belgeseller yayınlanır. Örnek içerikler: Sıra Dışı Hayatlar, Kayıp Kıtalar",TRT Belgesel ne yayınlar?
trt_world,"TRT’nin İngilizce yayın yapan uluslararası haber kanalıdır; küresel meseleler hakkında analiz, belgesel ve canlı yayınlar sunar. Örnek içerikler: The Newsmakers, Showcase",TRT World ne yayınlar?
trt_spor,"Türkiye ve dünyadaki spor gelişmelerine yer veren; maç özetleri, canlı yayınlar ve spor programları sunan bir kanaldır. Örnek içerikler: Stadyum, Spor Akşamı",TRT Spor ne yayınlar?
trt_cocuk,"3–12 yaş arası çocuklara yönelik eğitici, eğlenceli ve güvenli içerikler sunan TRT’nin çocuk kanalıdır. Örnek içerikler: Rafadan Tayfa, Niloya",TRT Çocuk ne yayınlar?
trt_eba,"Milli Eğitim Bakanlığı iş birliğiyle pandemi döneminde kurulan, ilkokul, ortaokul ve lise öğrencileri için uzaktan eğitim yayınları yapan kanaldır. Örnek içerikler: Lise Matematik Dersi, Ortaokul Fen Bilimleri",TRT EBA nedir?
trt_muzik,"Türk Sanat Müziği, Türk Halk Müziği, pop ve klasik müzik türlerinde konserler ve müzik programları sunan TRT’nin tematik müzik kanalıdır. Örnek içerikler: Ustadan Kalma Ezgiler, Bir Şarkısın Sen",TRT Müzik ne yayınlar?
trt_dinle_nedir,"TRT Dinle, TRT tarafından geliştirilen bir dijital ses platformudur; podcast, radyo tiyatrosu, müzik yayınları, sesli kitaplar ve arşiv programlarını dinleyicilere sunar.",TRT Dinle nedir?
trt_dinle_nasil_kullanilir,"TRT Dinle’yi web tarayıcısı üzerinden ya da mobil uygulamayı indirerek ücretsiz şekilde kullanabilirsin. Giriş yapmadan da içeriklere erişim sağlanabilir, ancak kişiselleştirme için üyelik önerilir.",TRT Dinle nasıl kullanılır?
trt_dinle_icerik_turleri,"TRT Dinle’de podcastler, radyo tiyatroları, TRT’nin klasik radyo programları, tematik müzik listeleri ve sesli kitaplar gibi zengin sesli içerikler yer alır.",TRT Dinle'de hangi içerikler var?
trt_dinle_uygulama_indirme,"TRT Dinle uygulaması, App Store (iOS) ve Google Play Store (Android) üzerinden indirilebilir; ayrıca dinle.trt.net.tr adresinden de tarayıcı üzerinden erişilebilir.",TRT Dinle nereden indirilir?
tabii_nedir,"TRT Tabii, TRT tarafından geliştirilen dijital içerik platformudur; diziler, belgeseller ve özgün yapımlar sunar. Yerli ve kültürel değerlere uygun içerikleri uluslararası izleyiciye ulaştırmayı hedefler.",Tabii nedir?
tabii_nasil_kullanilir,"Tabii platformuna web sitesi üzerinden veya mobil uygulama yoluyla giriş yaparak erişebilirsin. İçeriklerin bir kısmı ücretsizdir, bazıları için üyelik veya premium hesap gerekebilir.",Tabii nasıl kullanılır?
tabii_icerik_turleri,"Tabii’de tarihî dramalardan çocuk dizilerine, belgeselden animasyona kadar geniş yelpazede içerik bulunur. İçerikler Türkçe olup farklı dillerde altyazı seçenekleri de sunulur.",Tabii'de ne tür içerikler var?
tabii_premium_abonelik,"Premium üyelik, tüm içeriklere sınırsız erişim sağlar. Ücretli planlar bölgeye göre değişiklik gösterebilir.",Tabii Premium nedir?
tabii_desteklenen_cihazlar,"Tabii; iOS ve Android cihazlarda, akıllı televizyonlarda ve web tarayıcılarında kullanılabilir.",Tabii hangi cihazlarda çalışır?
trt_bil_bakalim_nedir,"Tabii, TRT'nin dijital içerik platformudur. Geniş bir yelpazede orijinal diziler, belgeseller ve programlar sunar. Aksiyon, drama, komedi gibi türlerde yapımlar içerir. Örnek içerikler arasında *Gassal*, *Siyah Bere*, *%2*, *Metamorfoz*, *Mevlana*, *Hay Sultan* gibi yapımlar yer alır.",TRT Bil Bakalım nedir?
trt_bil_bakalim_nasil_oynanir,"Uygulama içerisinde kategoriler seçilerek çoktan seçmeli sorulara zaman sınırlı olarak cevap verilir; doğru cevaplar puan kazandırır, yanlış cevaplarda bilgi kartlarıyla öğrenme desteklenir.",TRT Bil Bakalım nasıl oynanır?
trt_bil_bakalim_kimler_kullanabilir,"TRT Bil Bakalım, her yaştan kullanıcı için uygundur; özellikle öğrenciler, genel kültürünü geliştirmek isteyen bireyler ve ailecek oyun oynamak isteyenler için idealdir.",TRT Bil Bakalım'ı kim kullanabilir?
trt_bil_bakalim_soru_turleri,"Uygulamada tarih, coğrafya, bilim, sanat, spor ve popüler kültür gibi farklı kategorilerde çoktan seçmeli sorular yer alır.",TRT Bil Bakalım'da hangi sorular var?
trt_bil_bakalim_uygulama_indirme,"TRT Bil Bakalım uygulaması, App Store (iOS) ve Google Play Store (Android) üzerinden ücretsiz olarak indirilebilir.",TRT Bil Bakalım nereden indirilir?
yayin_ilkeleri,"TRT, yayınlarında tarafsızlık, doğruluk, kamu yararı ve etik ilkelere bağlı kalmayı esas alır. Toplumsal değerlere saygılı, milli ve manevi değerlere uygun, şiddet ve ayrımcılıktan uzak yayın anlayışını benimser. Yayınlarında çocuk haklarına, aile yapısına ve kültürel çeşitliliğe duyarlılık gösterir.",TRT'nin yayın ilkeleri nedir?
